id,offload vehicle id,service vehicle id,allocation basestation id,delay,done status,vehicle density
20220408164004bs0,1.0,0.0,0.0,0.0,"{1: 4, 2: 0}",0.559424877166748
20220408164016bs0,0.0,1.0,0.0,1.0,"{1: 4, 2: 0}",0.29091644287109375
20220408164017bs0,3.0,3.0,0.0,1.0,"{1: 4, 2: 0}",0.18560576438903809
20220408164023bs0,3.0,2.0,0.0,0.0,"{1: 4, 2: 0}",1.4256539344787598
20220408164030bs0,1.0,1.0,0.0,1.0,"{1: 4, 2: 0}",1.1435456275939941
20220408164036bs1,0.0,0.0,1.0,1.0,"{1: 3, 2: 1}",0.3411288261413574
20220408164041bs1,3.0,1.0,1.0,1.0,"{1: 3, 2: 1}",0.33867859840393066
20220408164045bs1,1.0,0.0,1.0,1.0,"{1: 3, 2: 1}",0.26636219024658203
20220408164047bs1,3.0,3.0,1.0,1.0,"{1: 3, 2: 1}",0.310591459274292
20220408164048bs1,0.0,2.0,1.0,1.0,"{1: 3, 2: 1}",0.26604485511779785
20220408164051bs1,1.0,3.0,1.0,1.0,"{1: 3, 2: 1}",0.2653927803039551
20220408164101bs1,0.0,0.0,1.0,1.0,"{1: 2, 2: 2}",0.3000786304473877
20220408164115bs1,1.0,1.0,1.0,0.0,"{1: 2, 2: 2}",0.2766287326812744
20220408164121bs1,3.0,0.0,1.0,0.0,"{1: 2, 2: 2}",0.44798922538757324
20220408164131bs1,0.0,3.0,1.0,0.0,"{1: 2, 2: 2}",0.23851633071899414
20220408164133bs1,1.0,0.0,1.0,1.0,"{1: 1, 2: 3}",0.29681921005249023
20220408164139bs1,3.0,1.0,1.0,1.0,"{1: 1, 2: 3}",0.3301973342895508
20220408164142bs1,0.0,2.0,1.0,1.0,"{1: 1, 2: 3}",0.2549099922180176
20220408164144bs1,1.0,1.0,1.0,1.0,"{1: 1, 2: 3}",0.3309359550476074
20220408164145bs1,0.0,0.0,1.0,1.0,"{1: 1, 2: 3}",0.251894474029541
20220408164149bs1,1.0,3.0,1.0,0.0,"{1: 1, 2: 3}",0.5373880863189697
20220408164153bs1,3.0,2.0,1.0,1.0,"{1: 1, 2: 3}",0.2608785629272461
20220408164159bs1,0.0,0.0,1.0,1.0,"{1: 1, 2: 3}",0.3130011558532715
20220408164201bs1,1.0,1.0,1.0,1.0,"{1: 1, 2: 3}",0.29811668395996094
20220408164221bs0,1.0,1.0,0.0,0.0,"{1: 4, 2: 0}",14.285183429718018
20220408164248bs0,1.0,0.0,0.0,0.0,"{1: 4, 2: 0}",7.255128383636475
20220408164309bs0,3.0,0.0,0.0,0.0,"{1: 4, 2: 0}",4.170775651931763
20220408164325bs0,1.0,2.0,0.0,0.0,"{1: 4, 2: 0}",3.973724365234375
20220408164337bs0,3.0,2.0,0.0,0.0,"{1: 4, 2: 0}",3.655672073364258
20220408164400bs0,0.0,3.0,0.0,0.0,"{1: 4, 2: 0}",9.822766065597534
20220408164420bs0,1.0,1.0,0.0,1.0,"{1: 4, 2: 0}",1.085517168045044
20220408164433bs0,3.0,3.0,0.0,0.0,"{1: 4, 2: 0}",3.6810410022735596
20220408164444bs0,3.0,0.0,0.0,0.0,"{1: 4, 2: 0}",3.7092370986938477
20220408164452bs0,1.0,2.0,0.0,0.0,"{1: 4, 2: 0}",5.4719016551971436
20220408164511bs0,1.0,3.0,0.0,0.0,"{1: 4, 2: 0}",6.611400127410889
20220408164527bs0,3.0,3.0,0.0,0.0,"{1: 4, 2: 0}",4.254192352294922
20220408164535bs0,1.0,1.0,0.0,1.0,"{1: 4, 2: 0}",2.131699800491333
20220408164550bs0,0.0,0.0,0.0,1.0,"{1: 4, 2: 0}",3.386871814727783
20220408164600bs0,0.0,1.0,0.0,1.0,"{1: 4, 2: 0}",0.2892279624938965
20220408164612bs1,0.0,3.0,1.0,1.0,"{1: 3, 2: 1}",0.34267473220825195
20220408164613bs0,1.0,2.0,0.0,1.0,"{1: 4, 2: 0}",0.8733818531036377
20220408164619bs0,3.0,2.0,0.0,1.0,"{1: 4, 2: 0}",0.4251976013183594
